Nr.;Anrede;Titel;Vorname;Nachname;Geburtsdatum;Straße;Hausnummer;Postleitzahl;Stadt;Telefon;Mobil;Telefax;EMail;Newsletter;Eintragsdatum
1;Herr;;Ruthard;Gut;;Am Kreuzweg;68;56745;Hausten;;;;;;30.03.2022
2;Herr;;Reinhardt;Geller;;Elzgasse;23;71540;Murrhardt;07192/1199719;;;;ja;13.04.2020
3;k.A.;;Bodomar;Bergmeier;;Katzenberger Weg;60;54439;Saarburg;;;;b_bergmeier@bestmail.none;;13.09.1960
4;Frau;;Brünhild;Pope;;Schnittlinger Straße;22;61169;Friedberg;06031/14153425;;;b-pope@domain.none;;06.02.2002
5;Frau;;Roselind;Besch;;Varlar;27;29646;Bispingen;;0170/8174726;;;;26.11.2015
6;Herr;;Mika;Lotz;;Chlodwigstraße;150;29416;Siedenlangenbeck;03901/27174333;;;mikalotz@justmail.none;;11.11.1985
7;Frau;;Rosel;Provinzial;;Reifträgerweg;163;30659;Hannover;0511/43834464;0154/2187207;;rosel-53@company.none;ja;10.02.1997
8;Frau;;Roselore;Kohler;;Enggasse;62;55296;Harxheim;06135/73486571;0171/3711350;;;;12.02.2004
9;Frau;;Theresa;Mees;02.02.1993;Am Eichhölzchen;124;57539;Hövels;02742/65830036;0158/4736718;02742/12510807;;ja;19.04.1993
10;Herr;;Lambert;Hunter;;Heidehang;132;24232;Schönkirchen;04348/45871372;0161/5051251;;;;07.03.2009
11;Frau;Dr.;Friedliese;Schirra;;Berliner Platz;159;66909;Wahnwegen;06383/75211466;0177/1560518;;friedliese-schirra@web.none;;20.01.1996
12;Frau;;Hanny;Pichler;15.12.2004;Im Wieschen;9;59519;Möhnesee;02924/42501467;;;hanny-pichler@validmail.none;;18.08.2019
13;Herr;;Wilbert;Bien;25.11.1995;Thanheimer Straße;124;55288;Spiesheim;06732/5693026;0159/3407854;;;;29.09.2011
14;k.A.;;Theobald;Großer;;Zum Wiesborn;138;37412;Herzberg am Harz;;0161/5556567;;t-grosser@xyz.none;;30.12.2011
15;Frau;;Elfrun;Augustin;;Fuhlrottstraße;42;84186;Vilsheim;08706/65941718;0156/7048101;08706/2369690;elfrun-augustin@private.none;;04.12.2009
16;Frau;;Hadburg;Carmen;;Buchenring;91;89619;Unterstadion;07393/43435511;0169/9246807;;hadburgcarmen@kitty.none;;09.08.1976
17;Herr;;Rembert;Kappel;;Moosweg;116;46145;Oberhausen;0208/11949733;0169/2395254;;;;13.01.2021
18;Herr;;Leonhardt;Broll;;Eisemrother Straße;132;24863;Börm;04624/31192437;;;leonhardt_broll@validmail.none;nein;23.10.2005
19;Herr;;Gundhard;Stiehl;02.12.1947;Schelmenweg;105;45481;Mülheim an der Ruhr;0208/37335606;0167/5721106;;g_stiehl@domain.none;;24.04.1960
20;Frau;;Rotraud;Tillmanns;;Raiffeisenplatz;120;40468;Düsseldorf;0211/50826469;0163/5167829;;;;24.03.1998
21;Herr;;Theophil;May;;St.-Thomas-Straße;126;64665;Alsbach-Hähnlein;06257/39450802;;;theophil.may@inter-mail.none;;02.08.1930
22;Frau;Dr.;Anika;Schläger;;Seelbacher Weg;39;72505;Krauchenwies;07576/18268885;0155/9077914;;;;11.09.1991
23;Frau;;Leona;Körfer;22.12.1961;Im Gründchen;128;55568;Abtweiler;06753/93840041;0161/8240846;;leona.1961@company.none;nein;24.08.1993
24;Herr;;Hanspeter;Gashi;17.03.1965;Oberfeller Straße;70;78337;Öhningen;07735/61390011;;;h_1965@trashmail.none;ja;27.10.1999
25;Frau;;Ismene;Ebert;;Leuzbacher Weg;174;60487;Frankfurt am Main;;0159/5033779;;iebert@funmail.none;;10.07.2022
26;k.A.;;Gerburg;Röse;;Herzogstraße;44;79780;Stühlingen;07744/44005741;;;g_roese@domain.none;;30.08.1941
27;Herr;;Eckert;Dauer;;Untersbergstraße;68;23627;Groß Sarau;04541/33521757;;04541/96801220;eckert-dauer@mymail.none;;24.03.2019
28;Frau;;Klothilde;Schempp;;Seestraße;102;79232;March;07665/4291783;0157/9530863;;k_schempp@net-mail.none;ja;25.12.2016
29;Frau;;Alrun;Mick;;Semmelweisstraße;167;90451;Nürnberg;0911/64651571;0166/8215439;;alrunmick@hoster.none;ja;25.03.1992
30;Frau;;Gerheide;Kunath;;Malvenweg;123;26465;Langeoog;04972/61998710;;;g_kunath@mymail.none;;19.08.2003
31;Frau;;Pia;Frost;;Osemundstraße;56;92345;Dietfurt an der Altmühl;;0157/1603605;;;;04.10.2001
32;Herr;;Silvio;Wolfrum;;Kreuzgasse;49;56767;Kaperich;02692/50391577;0157/3364962;02692/57631794;silviowolfrum@ultramail.none;;03.11.1955
